policy_number,insured_id,months_as_customer,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit
454758,891,145,1990-05-20,IN,100/300,1000,1142.48,0
698589,892,479,2002-11-28,IL,500/1000,1000,1188.45,0
330119,893,215,2004-06-15,IL,500/1000,1000,1125.4,0
164464,894,41,2010-09-26,OH,250/500,500,1294.41,0
927354,895,45,1990-09-15,IN,100/300,500,1459.5,0
231508,896,156,2009-09-16,IL,100/300,500,1367.99,0
272910,897,246,1999-08-12,IN,250/500,500,1594.37,0
305758,898,178,2009-03-08,IL,100/300,500,1035.99,0
950542,899,237,2009-04-27,OH,250/500,500,911.53,0
291544,900,127,2006-08-02,OH,500/1000,500,1319.97,0
388616,901,1,1995-12-06,OH,250/500,2000,1391.63,0
577992,902,5,2002-11-13,IN,250/500,500,915.41,5000000
342830,903,64,1991-11-09,IL,500/1000,1000,1468.82,0
491170,904,142,1998-01-14,IN,500/1000,500,1412.76,0
175553,905,97,2002-04-25,OH,500/1000,500,1588.26,0
439341,906,121,1991-07-20,IN,100/300,1000,1140.91,0
221186,907,225,2004-08-13,OH,100/300,1000,1517.54,0
868031,908,425,1990-06-24,OH,250/500,2000,912.29,0
844117,909,285,1991-08-21,OH,250/500,2000,1144.3,0
744557,910,192,2011-02-25,IN,500/1000,1000,1281.43,0
159536,911,285,2013-02-04,IL,100/300,2000,1101.85,0
727109,912,98,2001-02-20,IN,500/1000,2000,1082.1,0
155604,913,175,1992-03-03,OH,500/1000,500,1185.44,0
608443,914,259,2006-12-21,IL,500/1000,2000,1175.07,0
117862,915,140,2000-07-14,OH,500/1000,2000,979.26,0
991553,916,231,1991-12-12,OH,250/500,500,920.81,0
727443,917,186,2013-07-01,OH,100/300,500,922.85,0
378587,918,229,1998-12-16,OH,250/500,2000,1107.59,3000000
420948,919,180,2015-01-03,IL,100/300,500,1272.46,0
457188,920,188,1994-04-01,IL,250/500,1000,1340.24,0
118236,921,214,2000-08-15,OH,100/300,1000,1648.0,0
987524,922,178,2014-11-13,IL,250/500,500,1381.14,0
490596,923,55,2011-02-04,IL,500/1000,500,1198.44,8000000
524215,924,90,1990-06-24,OH,250/500,2000,951.27,0
913464,925,135,2009-01-21,IN,500/1000,2000,1341.24,0
398484,926,277,1992-11-07,IL,250/500,2000,1177.57,0
752504,927,211,1997-05-15,IN,250/500,1000,1055.09,0
449263,928,156,1992-03-20,IL,250/500,500,1479.48,0
844007,929,84,1995-07-17,IN,500/1000,2000,1827.38,0
686522,930,136,2000-12-27,IN,100/300,500,1169.62,0
670142,931,310,1999-08-06,IN,100/300,500,1516.34,0
607687,932,123,2007-03-03,OH,500/1000,2000,1270.21,0
967713,933,243,1997-12-25,IL,250/500,500,809.11,0
291902,934,36,2013-11-06,IL,500/1000,1000,1115.81,0
149839,935,146,1990-09-21,OH,100/300,1000,1457.65,5000000
840225,936,154,1999-10-05,OH,100/300,1000,1041.36,0
643226,937,204,1992-04-07,OH,250/500,1000,1693.83,7000000
535879,938,458,2009-03-05,IN,100/300,1000,1685.69,0
746630,939,147,1997-02-10,IN,250/500,500,1054.92,6000000
598308,940,279,1992-01-28,IN,250/500,2000,1333.97,6000000
720356,941,308,2013-09-16,OH,100/300,1000,1013.61,6000000
724752,942,284,2008-05-16,IL,500/1000,500,958.3,0
148498,943,108,2002-01-04,IN,250/500,2000,1112.04,6000000
110122,944,421,2002-04-02,IN,250/500,2000,1206.26,0
281388,945,266,1998-07-16,IL,500/1000,1000,763.67,0
728600,946,412,2002-08-15,IL,250/500,500,1042.56,0
231548,947,31,1999-09-07,IL,100/300,2000,1263.48,4000000
531160,948,465,2012-01-12,IL,250/500,500,1006.99,6000000
889003,949,126,1996-08-18,OH,250/500,1000,1328.26,0
193213,950,407,1996-03-11,OH,100/300,1000,1250.08,5000000
557218,951,101,1997-11-23,IL,500/1000,500,982.7,6000000
125591,952,187,2013-08-08,IN,500/1000,1000,1412.06,5000000
227244,953,252,1996-11-30,IN,500/1000,2000,1066.7,0
791425,954,229,1997-06-18,IN,250/500,2000,1585.54,0
354455,955,246,2007-04-19,IN,250/500,1000,1416.08,0
601042,956,190,2007-09-19,OH,250/500,500,1246.03,0
433663,957,95,1996-12-21,IN,500/1000,2000,1356.64,0
471938,958,205,2008-02-03,IL,100/300,2000,1387.7,4000000
564654,959,41,2003-07-16,OH,100/300,1000,1004.14,0
645723,960,137,1991-05-05,OH,500/1000,500,1107.07,0
573572,961,194,1991-06-16,IL,100/300,500,1429.96,0
437960,962,128,2001-04-03,IN,250/500,1000,1074.99,0
649800,963,150,2014-03-16,OH,500/1000,1000,1007.0,0
544225,964,104,2010-08-03,OH,100/300,500,1052.85,0
390256,965,163,2009-11-25,IN,500/1000,1000,1200.33,4000000
488597,966,80,2001-05-08,IL,100/300,1000,1343.0,0
133889,967,65,2004-06-14,OH,250/500,2000,1441.6,5000000
931901,968,179,1994-08-07,OH,100/300,1000,1433.42,6000000
769475,969,372,2004-08-26,OH,500/1000,2000,1368.57,0
844062,970,398,1990-05-25,OH,250/500,500,862.19,0
844129,971,213,1990-09-20,OH,250/500,500,871.46,0
732169,972,79,2000-11-05,OH,500/1000,500,1863.04,0
221854,973,232,1994-10-03,OH,250/500,2000,1181.64,0
776950,974,230,2005-04-11,IL,500/1000,1000,1060.74,0
291006,975,234,1990-05-16,IN,100/300,500,951.56,0
845751,976,240,2004-09-11,IN,100/300,500,1533.71,9000000
889764,977,143,1993-11-30,OH,500/1000,1000,1200.09,0
929306,978,266,2003-03-06,IN,100/300,500,1093.83,4000000
515457,979,89,1996-12-18,IN,250/500,1000,988.93,0
556270,980,229,1995-02-21,IN,500/1000,1000,1331.94,0
908935,981,245,2009-12-11,IL,500/1000,1000,1361.45,0
525862,982,50,2000-10-18,OH,250/500,2000,1188.51,0
490514,983,230,2007-02-09,IN,500/1000,2000,1101.83,0
774895,984,17,2006-10-28,IL,250/500,1000,840.95,0
974522,985,163,2000-01-27,IN,250/500,1000,1503.21,0
669809,986,29,2002-04-05,OH,100/300,1000,1722.5,0
182953,987,232,2013-04-30,IN,100/300,500,944.03,0
836349,988,235,2013-05-01,IL,500/1000,2000,1453.61,4000000
591269,989,295,1999-01-09,IN,100/300,500,1672.88,0
550127,990,22,2007-07-04,IN,250/500,1000,1248.05,0
663190,991,286,1994-02-05,IL,100/300,500,1564.43,3000000
109392,992,257,2006-07-12,OH,100/300,1000,1280.88,0
215278,993,94,2007-10-24,IN,100/300,500,722.66,0
674570,994,124,2001-12-08,OH,250/500,1000,1235.14,0
681486,995,141,2007-03-24,IN,500/1000,1000,1347.04,0
941851,996,3,1991-07-16,OH,500/1000,1000,1310.8,0
186934,997,285,2014-01-05,IL,100/300,1000,1436.79,0
918516,998,130,2003-02-17,OH,250/500,500,1383.49,3000000
533940,999,458,2011-11-18,IL,500/1000,2000,1356.92,5000000
556080,1000,456,1996-11-11,OH,250/500,1000,766.19,0
